id,sex,race_ethnicity
292,male,other_non_hispanic
293,male,white_non_hispanic
294,female,white_non_hispanic
295,male,hispanic
296,male,white_non_hispanic
297,female,white_non_hispanic
298,male,white_non_hispanic
299,female,white_non_hispanic
300,male,hispanic
301,female,hispanic
302,male,white_non_hispanic
303,male,black_non_hispanic
304,male,white_non_hispanic
305,male,white_non_hispanic
306,male,hispanic
307,female,hispanic
308,female,black_non_hispanic
309,female,other_non_hispanic
310,female,black_non_hispanic
311,female,other_non_hispanic
312,male,hispanic
313,male,other_non_hispanic
314,male,hispanic
315,male,white_non_hispanic
316,female,white_non_hispanic
317,male,white_non_hispanic
318,female,white_non_hispanic
319,male,other_non_hispanic
320,female,black_non_hispanic
321,male,white_non_hispanic
322,female,black_non_hispanic
323,male,white_non_hispanic
324,female,black_non_hispanic
325,female,white_non_hispanic
326,female,white_non_hispanic
327,female,white_non_hispanic
328,male,white_non_hispanic
329,female,white_non_hispanic
330,female,white_non_hispanic
331,male,white_non_hispanic
332,male,other_non_hispanic
333,female,white_non_hispanic
334,male,hispanic
335,female,hispanic
336,male,white_non_hispanic
337,male,hispanic
338,female,white_non_hispanic
339,male,black_non_hispanic
340,male,white_non_hispanic
341,male,white_non_hispanic
342,female,white_non_hispanic
343,male,white_non_hispanic
344,female,white_non_hispanic
345,female,white_non_hispanic
346,female,black_non_hispanic
347,male,white_non_hispanic
348,female,black_non_hispanic
349,female,hispanic
350,female,white_non_hispanic
351,male,hispanic
352,female,white_non_hispanic
353,female,other_non_hispanic
354,female,other_non_hispanic
355,male,black_non_hispanic
356,female,black_non_hispanic
357,male,white_non_hispanic
358,female,white_non_hispanic
359,female,white_non_hispanic
360,male,white_non_hispanic
361,male,white_non_hispanic
362,female,hispanic
363,female,white_non_hispanic
364,female,white_non_hispanic
365,male,black_non_hispanic
366,female,white_non_hispanic
367,male,black_non_hispanic
368,female,white_non_hispanic
369,male,white_non_hispanic
370,male,other_non_hispanic
371,male,white_non_hispanic
372,female,white_non_hispanic
373,male,hispanic
374,female,hispanic
375,male,hispanic
376,female,black_non_hispanic
377,female,other_non_hispanic
378,male,hispanic
379,female,hispanic
380,male,other_non_hispanic
381,male,black_non_hispanic
382,male,white_non_hispanic
383,male,hispanic
384,male,white_non_hispanic
385,female,white_non_hispanic
386,male,white_non_hispanic
387,female,black_non_hispanic
388,male,hispanic
389,male,white_non_hispanic
390,female,black_non_hispanic
391,male,hispanic
392,female,white_non_hispanic
393,female,white_non_hispanic
394,female,white_non_hispanic
395,male,white_non_hispanic
396,male,other_non_hispanic
397,female,white_non_hispanic
398,male,white_non_hispanic
399,male,hispanic
400,male,white_non_hispanic
401,female,hispanic
402,female,white_non_hispanic
403,male,white_non_hispanic
404,female,hispanic
405,female,white_non_hispanic
406,male,white_non_hispanic
407,female,other_non_hispanic
408,male,white_non_hispanic
409,female,black_non_hispanic
410,female,hispanic
411,male,hispanic
412,female,white_non_hispanic
413,female,white_non_hispanic
414,male,white_non_hispanic
415,female,white_non_hispanic
416,male,white_non_hispanic
417,male,other_non_hispanic
418,female,hispanic
419,female,black_non_hispanic
420,female,hispanic
421,female,black_non_hispanic
422,female,hispanic
423,male,white_non_hispanic
424,male,white_non_hispanic
425,female,white_non_hispanic
426,female,white_non_hispanic
427,male,white_non_hispanic
428,male,white_non_hispanic
429,male,white_non_hispanic
430,female,white_non_hispanic
431,male,white_non_hispanic
432,female,other_non_hispanic
433,male,white_non_hispanic
434,male,white_non_hispanic
435,male,black_non_hispanic
436,male,white_non_hispanic
437,female,white_non_hispanic
438,male,white_non_hispanic
439,male,hispanic
440,male,white_non_hispanic
441,female,other_non_hispanic
442,female,white_non_hispanic
443,female,hispanic
444,female,black_non_hispanic
445,female,white_non_hispanic
446,male,black_non_hispanic
447,female,white_non_hispanic
448,male,black_non_hispanic
449,male,white_non_hispanic
450,male,white_non_hispanic
451,male,black_non_hispanic
452,male,white_non_hispanic
453,female,hispanic
454,female,black_non_hispanic
455,female,white_non_hispanic
456,female,white_non_hispanic
457,male,hispanic
458,female,white_non_hispanic
459,male,white_non_hispanic
460,female,black_non_hispanic
461,female,black_non_hispanic
462,female,white_non_hispanic
463,female,white_non_hispanic
464,female,white_non_hispanic
465,male,black_non_hispanic
466,male,black_non_hispanic
467,male,white_non_hispanic
468,male,white_non_hispanic
469,female,black_non_hispanic
470,male,black_non_hispanic
471,female,white_non_hispanic
472,male,other_non_hispanic
473,male,white_non_hispanic
474,female,white_non_hispanic
475,male,white_non_hispanic
476,female,white_non_hispanic
477,male,black_non_hispanic
478,male,white_non_hispanic
479,female,white_non_hispanic
480,female,white_non_hispanic
481,male,white_non_hispanic
482,female,white_non_hispanic
483,male,white_non_hispanic
484,female,white_non_hispanic
485,male,other_non_hispanic
486,male,white_non_hispanic
487,male,white_non_hispanic
488,female,black_non_hispanic
489,female,black_non_hispanic
490,male,hispanic
491,female,white_non_hispanic
492,male,white_non_hispanic
493,female,other_non_hispanic
494,male,white_non_hispanic
495,female,white_non_hispanic
496,male,white_non_hispanic
497,female,white_non_hispanic
498,male,white_non_hispanic
499,female,white_non_hispanic
500,male,white_non_hispanic
501,male,white_non_hispanic
502,female,white_non_hispanic
503,male,hispanic
504,female,hispanic
505,male,black_non_hispanic
506,male,hispanic
507,male,black_non_hispanic
508,male,white_non_hispanic
509,male,white_non_hispanic
510,female,white_non_hispanic
511,female,white_non_hispanic
512,female,other_non_hispanic
513,male,white_non_hispanic
514,male,white_non_hispanic
515,female,black_non_hispanic
516,male,white_non_hispanic
517,male,hispanic
518,male,white_non_hispanic
519,female,black_non_hispanic
520,female,white_non_hispanic
521,female,white_non_hispanic
522,male,hispanic
523,male,white_non_hispanic
524,male,white_non_hispanic
525,female,white_non_hispanic
526,female,white_non_hispanic
527,female,white_non_hispanic
528,male,hispanic
529,male,black_non_hispanic
530,male,black_non_hispanic
531,female,white_non_hispanic
532,female,white_non_hispanic
533,female,other_non_hispanic
534,male,hispanic
535,female,white_non_hispanic
536,male,other_non_hispanic
537,female,white_non_hispanic
538,male,white_non_hispanic
539,male,white_non_hispanic
540,male,white_non_hispanic
541,male,white_non_hispanic
542,female,white_non_hispanic
543,male,other_non_hispanic
544,male,white_non_hispanic
545,female,white_non_hispanic
546,male,other_non_hispanic
547,female,black_non_hispanic
548,male,hispanic
549,male,white_non_hispanic
550,female,hispanic
551,male,white_non_hispanic
552,female,white_non_hispanic
553,female,hispanic
554,female,white_non_hispanic
555,female,white_non_hispanic
556,female,white_non_hispanic
557,female,hispanic
558,male,black_non_hispanic
559,male,white_non_hispanic
560,male,hispanic
561,female,white_non_hispanic
562,male,hispanic
563,male,black_non_hispanic
564,male,other_non_hispanic
565,male,white_non_hispanic
566,female,white_non_hispanic
567,female,hispanic
568,female,hispanic
569,female,white_non_hispanic
570,male,white_non_hispanic
571,female,white_non_hispanic
572,female,white_non_hispanic
573,female,hispanic
574,male,black_non_hispanic
575,female,white_non_hispanic
576,female,white_non_hispanic
577,male,white_non_hispanic
578,male,white_non_hispanic
579,male,white_non_hispanic
580,female,black_non_hispanic
581,female,white_non_hispanic
582,female,black_non_hispanic
583,female,black_non_hispanic
584,female,white_non_hispanic
585,male,white_non_hispanic
586,female,white_non_hispanic
587,female,black_non_hispanic
588,female,black_non_hispanic
589,female,white_non_hispanic
590,female,white_non_hispanic
591,female,white_non_hispanic
592,male,white_non_hispanic
593,male,white_non_hispanic
594,male,white_non_hispanic
595,male,white_non_hispanic
596,male,white_non_hispanic
597,female,white_non_hispanic
598,female,white_non_hispanic
599,male,white_non_hispanic
600,female,white_non_hispanic
601,male,white_non_hispanic
602,male,white_non_hispanic
603,female,hispanic
604,male,white_non_hispanic
605,female,black_non_hispanic
606,male,hispanic
607,male,white_non_hispanic
608,female,other_non_hispanic
609,female,white_non_hispanic
610,male,white_non_hispanic
611,male,hispanic
612,male,white_non_hispanic
613,female,hispanic
614,female,white_non_hispanic
615,male,white_non_hispanic
616,male,white_non_hispanic
617,male,white_non_hispanic
618,male,white_non_hispanic
619,male,hispanic
620,male,white_non_hispanic
621,male,white_non_hispanic
622,female,white_non_hispanic
623,male,white_non_hispanic
624,male,other_non_hispanic
625,female,hispanic
626,female,white_non_hispanic
627,male,white_non_hispanic
628,female,white_non_hispanic
629,female,white_non_hispanic
630,female,white_non_hispanic
631,female,hispanic
632,male,other_non_hispanic
633,female,white_non_hispanic
634,male,white_non_hispanic
635,male,white_non_hispanic
636,male,hispanic
637,female,white_non_hispanic
638,male,black_non_hispanic
639,male,hispanic
640,male,black_non_hispanic
641,female,black_non_hispanic
642,male,white_non_hispanic
643,female,hispanic
644,male,white_non_hispanic
645,male,white_non_hispanic
646,male,white_non_hispanic
647,male,white_non_hispanic
648,female,other_non_hispanic
649,male,hispanic
650,female,white_non_hispanic
651,female,hispanic
652,male,white_non_hispanic
653,male,hispanic
654,female,other_non_hispanic
655,female,other_non_hispanic
656,male,hispanic
657,male,white_non_hispanic
658,male,other_non_hispanic
659,female,black_non_hispanic
660,male,white_non_hispanic
661,female,black_non_hispanic
662,female,white_non_hispanic
663,female,white_non_hispanic
664,male,white_non_hispanic
665,female,hispanic
666,male,white_non_hispanic
667,female,other_non_hispanic
668,female,other_non_hispanic
669,male,hispanic
670,female,hispanic
671,female,other_non_hispanic
672,female,black_non_hispanic
673,male,white_non_hispanic
674,female,white_non_hispanic
675,male,white_non_hispanic
676,female,other_non_hispanic
677,male,white_non_hispanic
678,male,hispanic
679,female,white_non_hispanic
680,female,white_non_hispanic
681,female,white_non_hispanic
682,male,white_non_hispanic
683,female,white_non_hispanic
684,male,white_non_hispanic
685,female,hispanic
686,male,white_non_hispanic
687,male,white_non_hispanic
688,male,black_non_hispanic
689,female,white_non_hispanic
690,female,white_non_hispanic
691,female,white_non_hispanic
692,female,hispanic
693,female,black_non_hispanic
694,female,other_non_hispanic
695,female,other_non_hispanic
696,female,white_non_hispanic
697,female,white_non_hispanic
698,male,white_non_hispanic
699,female,hispanic
700,male,white_non_hispanic
701,female,white_non_hispanic
702,male,white_non_hispanic
703,male,white_non_hispanic
704,female,black_non_hispanic
705,female,white_non_hispanic
706,male,white_non_hispanic
707,male,white_non_hispanic
708,male,hispanic
709,male,white_non_hispanic
710,female,black_non_hispanic
711,female,white_non_hispanic
712,female,white_non_hispanic
713,female,black_non_hispanic
714,female,white_non_hispanic
715,male,white_non_hispanic
716,male,hispanic
717,male,black_non_hispanic
718,male,white_non_hispanic
719,male,hispanic
720,female,hispanic
721,female,black_non_hispanic
722,female,hispanic
723,male,white_non_hispanic
724,female,white_non_hispanic
725,male,hispanic
726,male,hispanic
727,male,white_non_hispanic
728,female,hispanic
729,female,white_non_hispanic
730,female,white_non_hispanic
731,male,white_non_hispanic
732,female,white_non_hispanic
733,female,black_non_hispanic
734,male,white_non_hispanic
735,male,hispanic
736,male,hispanic
737,female,white_non_hispanic
738,female,black_non_hispanic
739,female,black_non_hispanic
740,male,other_non_hispanic
741,male,white_non_hispanic
742,female,white_non_hispanic
743,female,white_non_hispanic
744,female,hispanic
745,female,hispanic
746,male,white_non_hispanic
747,male,white_non_hispanic
748,male,hispanic
749,female,black_non_hispanic
750,female,white_non_hispanic
751,male,black_non_hispanic
752,male,hispanic
753,female,black_non_hispanic
754,male,hispanic
755,male,white_non_hispanic
756,male,white_non_hispanic
757,female,white_non_hispanic
758,male,white_non_hispanic
759,male,white_non_hispanic
760,male,white_non_hispanic
761,female,hispanic
762,male,white_non_hispanic
763,female,white_non_hispanic
764,female,white_non_hispanic
765,male,white_non_hispanic
766,female,white_non_hispanic
767,female,white_non_hispanic
768,male,black_non_hispanic
769,female,white_non_hispanic
770,male,black_non_hispanic
771,male,hispanic
772,male,other_non_hispanic
773,female,other_non_hispanic
774,male,hispanic
775,female,other_non_hispanic
776,female,white_non_hispanic
777,male,white_non_hispanic
778,male,hispanic
779,female,white_non_hispanic
780,female,white_non_hispanic
781,male,hispanic
782,male,white_non_hispanic
783,male,white_non_hispanic
784,female,white_non_hispanic
785,female,white_non_hispanic
786,male,white_non_hispanic
787,male,white_non_hispanic
788,male,white_non_hispanic
789,female,white_non_hispanic
790,male,white_non_hispanic
791,female,white_non_hispanic
792,male,white_non_hispanic
793,male,white_non_hispanic
794,female,white_non_hispanic
795,female,white_non_hispanic
796,male,white_non_hispanic
797,male,hispanic
798,female,hispanic
799,female,hispanic
800,female,white_non_hispanic
801,male,white_non_hispanic
802,female,white_non_hispanic
803,male,other_non_hispanic
804,male,other_non_hispanic
805,female,white_non_hispanic
806,female,black_non_hispanic
807,male,white_non_hispanic
808,male,white_non_hispanic
809,male,white_non_hispanic
810,female,white_non_hispanic
811,male,hispanic
812,female,white_non_hispanic
813,male,white_non_hispanic
814,male,white_non_hispanic
815,male,white_non_hispanic
816,female,white_non_hispanic
817,male,other_non_hispanic
818,female,hispanic
819,female,white_non_hispanic
820,female,hispanic
821,male,white_non_hispanic
822,male,black_non_hispanic
823,female,other_non_hispanic
824,male,white_non_hispanic
825,male,other_non_hispanic
826,male,white_non_hispanic
827,female,white_non_hispanic
828,male,hispanic
829,female,white_non_hispanic
830,female,white_non_hispanic
831,female,white_non_hispanic
832,male,white_non_hispanic
833,female,black_non_hispanic
834,male,other_non_hispanic
835,male,white_non_hispanic
836,female,other_non_hispanic
837,male,hispanic
838,male,white_non_hispanic
839,female,white_non_hispanic
840,male,white_non_hispanic
841,male,white_non_hispanic
842,female,white_non_hispanic
843,female,white_non_hispanic
844,male,white_non_hispanic
845,female,white_non_hispanic
846,male,white_non_hispanic
847,male,hispanic
848,female,hispanic
849,male,white_non_hispanic
850,male,white_non_hispanic
851,female,hispanic
852,female,black_non_hispanic
853,female,white_non_hispanic
854,female,white_non_hispanic
855,female,black_non_hispanic
856,male,black_non_hispanic
857,female,white_non_hispanic
858,female,white_non_hispanic
859,female,white_non_hispanic
860,male,white_non_hispanic
861,female,white_non_hispanic
862,male,other_non_hispanic
863,female,white_non_hispanic
864,male,white_non_hispanic
865,male,white_non_hispanic
866,female,white_non_hispanic
867,female,white_non_hispanic
868,male,white_non_hispanic
869,female,white_non_hispanic
870,female,white_non_hispanic
871,male,other_non_hispanic
872,male,white_non_hispanic
873,male,hispanic
874,male,white_non_hispanic
875,male,white_non_hispanic
876,female,hispanic
877,female,hispanic
878,male,black_non_hispanic
879,female,white_non_hispanic
880,male,hispanic
881,female,other_non_hispanic
882,male,other_non_hispanic
883,female,white_non_hispanic
884,male,white_non_hispanic
885,female,hispanic
886,male,hispanic
887,male,white_non_hispanic
888,male,white_non_hispanic
889,female,white_non_hispanic
890,female,hispanic
891,male,hispanic
892,male,white_non_hispanic
893,female,white_non_hispanic
894,male,hispanic
895,female,hispanic
896,male,black_non_hispanic
897,male,white_non_hispanic
898,female,black_non_hispanic
899,male,hispanic
900,female,white_non_hispanic
901,female,other_non_hispanic
902,female,hispanic
903,male,hispanic
904,male,hispanic
905,female,white_non_hispanic
906,male,hispanic
907,male,white_non_hispanic
908,male,white_non_hispanic
909,female,white_non_hispanic
910,male,hispanic
911,female,white_non_hispanic
912,female,white_non_hispanic
913,female,white_non_hispanic
914,female,black_non_hispanic
915,male,white_non_hispanic
916,male,hispanic
917,male,white_non_hispanic
918,female,white_non_hispanic
919,male,black_non_hispanic
920,female,white_non_hispanic
921,female,other_non_hispanic
922,male,white_non_hispanic
923,male,white_non_hispanic
924,female,other_non_hispanic
925,female,white_non_hispanic
926,female,other_non_hispanic
927,male,white_non_hispanic
928,female,white_non_hispanic
929,female,white_non_hispanic
930,female,white_non_hispanic
931,male,white_non_hispanic
932,male,white_non_hispanic
933,female,white_non_hispanic
934,female,white_non_hispanic
935,female,white_non_hispanic
936,female,white_non_hispanic
937,female,white_non_hispanic
938,female,white_non_hispanic
939,male,other_non_hispanic
940,female,white_non_hispanic
941,female,white_non_hispanic
942,female,white_non_hispanic
943,female,white_non_hispanic
944,male,white_non_hispanic
945,female,white_non_hispanic
946,female,white_non_hispanic
947,female,white_non_hispanic
948,male,hispanic
949,male,white_non_hispanic
950,female,white_non_hispanic
951,male,white_non_hispanic
952,male,white_non_hispanic
953,male,black_non_hispanic
954,female,other_non_hispanic
955,female,black_non_hispanic
956,male,white_non_hispanic
957,male,hispanic
958,female,white_non_hispanic
959,male,other_non_hispanic
960,male,white_non_hispanic
961,male,white_non_hispanic
962,female,white_non_hispanic
963,female,black_non_hispanic
964,male,hispanic
965,female,white_non_hispanic
966,female,hispanic
967,male,hispanic
968,female,white_non_hispanic
969,female,white_non_hispanic
970,male,white_non_hispanic
971,female,other_non_hispanic
972,male,white_non_hispanic
973,male,hispanic
974,female,white_non_hispanic
975,female,white_non_hispanic
976,female,white_non_hispanic
977,female,white_non_hispanic
978,female,white_non_hispanic
979,male,hispanic
980,female,white_non_hispanic
981,female,black_non_hispanic
982,female,white_non_hispanic
983,male,black_non_hispanic
984,female,white_non_hispanic
985,male,black_non_hispanic
986,male,hispanic
987,male,black_non_hispanic
988,female,white_non_hispanic
989,male,white_non_hispanic
990,male,hispanic
991,female,white_non_hispanic
992,female,white_non_hispanic
993,female,white_non_hispanic
994,female,white_non_hispanic
995,male,white_non_hispanic
996,female,white_non_hispanic
997,female,other_non_hispanic
998,male,white_non_hispanic
999,male,white_non_hispanic
1000,male,black_non_hispanic
1001,female,hispanic
1002,female,other_non_hispanic
1003,female,white_non_hispanic
1004,male,white_non_hispanic
1005,female,white_non_hispanic
1006,female,white_non_hispanic
1007,male,white_non_hispanic
1008,female,white_non_hispanic
1009,female,white_non_hispanic
1010,male,white_non_hispanic
1011,male,white_non_hispanic
1012,female,other_non_hispanic
1013,female,hispanic
1014,male,white_non_hispanic
1015,female,other_non_hispanic
1016,female,white_non_hispanic
1017,male,white_non_hispanic
1018,male,other_non_hispanic
1019,male,white_non_hispanic
1020,female,other_non_hispanic
1021,female,black_non_hispanic
1022,female,black_non_hispanic
1023,male,other_non_hispanic
1024,male,white_non_hispanic
1025,male,white_non_hispanic
1026,female,black_non_hispanic
1027,female,hispanic
1028,female,white_non_hispanic
1029,female,white_non_hispanic
1030,female,white_non_hispanic
1031,female,black_non_hispanic
1032,female,white_non_hispanic
1033,male,white_non_hispanic
1034,male,white_non_hispanic
1035,male,black_non_hispanic
1036,male,other_non_hispanic
1037,female,black_non_hispanic
1038,male,other_non_hispanic
1039,female,white_non_hispanic
1040,male,hispanic
1041,female,white_non_hispanic
1042,female,white_non_hispanic
1043,female,white_non_hispanic
1044,female,white_non_hispanic
1045,male,white_non_hispanic
1046,male,hispanic
1047,male,white_non_hispanic
1048,female,other_non_hispanic
1049,male,hispanic
1050,female,hispanic
1051,female,white_non_hispanic
1052,female,hispanic
1053,male,white_non_hispanic
1054,male,white_non_hispanic
1055,female,hispanic
1056,female,hispanic
1057,male,white_non_hispanic
1058,male,hispanic
1059,female,white_non_hispanic
1060,male,white_non_hispanic
1061,male,other_non_hispanic
1062,male,white_non_hispanic
1063,male,white_non_hispanic
1064,male,hispanic
1065,female,white_non_hispanic
1066,female,black_non_hispanic
1067,female,white_non_hispanic
1068,male,other_non_hispanic
1069,female,white_non_hispanic
1070,male,white_non_hispanic
1071,male,white_non_hispanic
1072,female,white_non_hispanic
1073,female,white_non_hispanic
1074,female,white_non_hispanic
1075,female,white_non_hispanic
1076,male,hispanic
1077,male,black_non_hispanic
1078,male,white_non_hispanic
1079,male,hispanic
1080,male,black_non_hispanic
1081,female,white_non_hispanic
1082,female,white_non_hispanic
1083,female,other_non_hispanic
1084,female,hispanic
1085,male,white_non_hispanic
1086,female,hispanic
1087,male,white_non_hispanic
1088,female,white_non_hispanic
1089,male,white_non_hispanic
1090,female,white_non_hispanic
1091,female,other_non_hispanic
1092,male,white_non_hispanic
1093,female,white_non_hispanic
1094,male,white_non_hispanic
1095,female,hispanic
1096,male,white_non_hispanic
1097,female,white_non_hispanic
1098,female,white_non_hispanic
1099,male,white_non_hispanic
1100,female,other_non_hispanic
1101,male,black_non_hispanic
1102,female,white_non_hispanic
1103,female,white_non_hispanic
1104,female,white_non_hispanic
1105,female,white_non_hispanic
1106,male,hispanic
1107,female,hispanic
1108,female,white_non_hispanic
1109,male,white_non_hispanic
1110,female,white_non_hispanic
1111,male,hispanic
1112,female,black_non_hispanic
1113,male,white_non_hispanic
1114,female,white_non_hispanic
1115,female,hispanic
1116,female,black_non_hispanic
1117,male,white_non_hispanic
1118,male,white_non_hispanic
1119,male,other_non_hispanic
1120,male,white_non_hispanic
1121,female,white_non_hispanic
1122,male,white_non_hispanic
1123,female,white_non_hispanic
1124,male,hispanic
1125,male,white_non_hispanic
1126,male,white_non_hispanic
1127,male,black_non_hispanic
1128,male,white_non_hispanic
1129,male,hispanic
1130,male,black_non_hispanic
1131,male,hispanic
1132,male,white_non_hispanic
